p00893,893,08R893:E0earsun,08R893:E0earsun,15,10,a00893,
p00893,893,08R893:E0earsun,08R893:E0earsun,15,10,a00893,
p00893,893,08R893:E0earsun,08R893:E0earsun,15,10,a00893,
p00893,893,08R893:E0earsun,08R893:E0earsun,20,20,a00893,
p00894,894,08R894:E0goljub,08R894:E0goljub,15,10,a00894,
p00894,894,08R894:E0goljub,08R894:E0goljub,15,10,a00894,
p00894,894,08R894:E0goljub,08R894:E0goljub,15,10,a00894,
p00894,894,08R894:E0goljub,08R894:E0goljub,20,20,a00894,
p00895,895,08R895:E0cogent,08R895:E0cogent,15,10,a00895,
p00895,895,08R895:E0cogent,08R895:E0cogent,15,10,a00895,
p00895,895,08R895:E0cogent,08R895:E0cogent,15,10,a00895,
p00895,895,08R895:E0cogent,08R895:E0cogent,20,20,a00895,
p00896,896,08R896:E0kankrn,08R896:E0kankrn,15,10,a00896,
p00896,896,08R896:E0kankrn,08R896:E0kankrn,15,10,a00896,
p00896,896,08R896:E0kankrn,08R896:E0kankrn,15,10,a00896,
p00896,896,08R896:E0kankrn,08R896:E0kankrn,20,20,a00896,
p00897,897,08R897:E0silqun,08R897:E0silqun,15,10,a00897,
p00897,897,08R897:E0silqun,08R897:E0silqun,15,10,a00897,
p00897,897,08R897:E0silqun,08R897:E0silqun,15,10,a00897,
p00897,897,08R897:E0silqun,08R897:E0silqun,20,20,a00897,
p00898,898,08R898:E0bodcus,08R898:E0bodcus,15,10,a00898,
p00898,898,08R898:E0bodcus,08R898:E0bodcus,15,10,a00898,
p00898,898,08R898:E0bodcus,08R898:E0bodcus,15,10,a00898,
p00898,898,08R898:E0bodcus,08R898:E0bodcus,20,20,a00898,
p00899,899,08R899:E0bnjour,08R899:E0bnjour,15,10,a00899,
p00899,899,08R899:E0bnjour,08R899:E0bnjour,15,10,a00899,
p00899,899,08R899:E0bnjour,08R899:E0bnjour,15,10,a00899,
p00899,899,08R899:E0bnjour,08R899:E0bnjour,20,20,a00899,
p00990,990,08R990:E0casino,08R990:E0casino,15,10,a00990,
p00990,990,08R990:E0casino,08R990:E0casino,15,10,a00990,
p00990,990,08R990:E0casino,08R990:E0casino,15,10,a00990,
p00990,990,08R990:E0casino,08R990:E0casino,20,20,a00990,
p00991,991,08R991:E0golban,08R991:E0golban,15,10,a00991,
p00991,991,08R991:E0golban,08R991:E0golban,15,10,a00991,
p00991,991,08R991:E0golban,08R991:E0golban,15,10,a00991,
p00991,991,08R991:E0golban,08R991:E0golban,20,20,a00991,
p00992,992,07R992:P0mawhyl,07R992:P0mawhyl,15,10,a00992,
p00992,992,07R992:P0mawhyl,07R992:P0mawhyl,15,10,a00992,
p00992,992,07R992:P0mawhyl,07R992:P0mawhyl,15,10,a00992,
p00993,993,07R993:P0madkpu,07R993:P0madkpu,15,10,a00993,
p00993,993,07R993:P0madkpu,07R993:P0madkpu,15,10,a00993,
p00993,993,07R993:P0madkpu,07R993:P0madkpu,15,10,a00993,
p00994,994,07R994:P0modkpi,07R994:P0modkpi,15,10,a00994,
p00994,994,07R994:P0modkpi,07R994:P0modkpi,15,10,a00994,
p00994,994,07R994:P0modkpi,07R994:P0modkpi,15,10,a00994,
p00995,995,07R995:P0moltpi,07R995:P0moltpi,15,10,a00995,
p00995,995,07R995:P0moltpi,07R995:P0moltpi,15,10,a00995,
p00995,995,07R995:P0moltpi,07R995:P0moltpi,15,10,a00995,
p00996,996,07R996:P0moclwh,07R996:P0moclwh,15,10,a00996,
p00996,996,07R996:P0moclwh,07R996:P0moclwh,15,10,a00996,
p00996,996,07R996:P0moclwh,07R996:P0moclwh,15,10,a00996,
p00997,997,07R997:P0molryl,07R997:P0molryl,15,10,a00997,
p00997,997,07R997:P0molryl,07R997:P0molryl,15,10,a00997,
p00997,997,07R997:P0molryl,07R997:P0molryl,15,10,a00997,
p00998,998,07R998:P0momdpu,07R998:P0momdpu,15,10,a00998,
p00998,998,07R998:P0momdpu,07R998:P0momdpu,15,10,a00998,
p00998,998,07R998:P0momdpu,07R998:P0momdpu,15,10,a00998,
p00999,999,07R999:P0molrpi,07R999:P0molrpi,15,10,a00999,
p00999,999,07R999:P0molrpi,07R999:P0molrpi,15,10,a00999,
p00999,999,07R999:P0molrpi,07R999:P0molrpi,15,10,a00999,