plantID,postn b0,type marker leaf,observer,datetime,leaf_alignmt
13R4074:0004003,e-3,e0,wade,07/29/2013 0:00:00,
13R4074:0004005,e-3,e0,wade,07/29/2013 0:00:00,
13R4074:0004006,e-3,e0,wade,07/29/2013 0:00:00,
13R4074:0004007,e-3,e0,wade,07/29/2013 0:00:00,
13R4074:0004008,e-3,e0,wade,07/29/2013 0:00:00,
13R4075:0004110,e-3,e0,wade,07/29/2013 0:00:00,
13R4075:0004111,e-3,e0,wade,07/29/2013 0:00:00,
13R4076:0004201,e-3,e0,wade,07/29/2013 0:00:00,
13R4076:0004202,e-3,e0,wade,07/29/2013 0:00:00,
13R4076:0004203,e-3,e0,wade,07/29/2013 0:00:00,
13R3561:0004301,e-3,e0,wade,07/29/2013 0:00:00,
13R3915:0004401,e-3,e0,wade,07/29/2013 0:00:00,
13R4077:0004501,e-3,e0,wade,07/29/2013 0:00:00,
13R4077:0004504,e-3,e0,wade,07/29/2013 0:00:00,
13R4077:0004505,e-3,e0,wade,07/29/2013 0:00:00,
13R4077:0004506,e-3,e0,wade,07/29/2013 0:00:00,
13R4077:0004508,e-3,e0,wade,07/29/2013 0:00:00,
13R4078:0004601,e-3,e0,wade,07/29/2013 0:00:00,
13R4078:0004603,e-3,e0,wade,07/29/2013 0:00:00,
13R4078:0004604,e-3,e0,wade,07/29/2013 0:00:00,
13R4078:0004605,e-3,e0,wade,07/29/2013 0:00:00,
13R4078:0004607,e-3,e0,wade,07/29/2013 0:00:00,
13R4078:0004608,e-3,e0,wade,07/29/2013 0:00:00,
13R1012:0004701,e-3,e0,wade,07/29/2013 0:00:00,
13R4079:0004901,e-3,e0,wade,07/29/2013 0:00:00,
13R4079:0004902,e-3,e0,wade,07/29/2013 0:00:00,
13R4079:0004903,e-3,e0,wade,07/29/2013 0:00:00,
13R4079:0004904,e-3,e0,wade,07/29/2013 0:00:00,
13R4079:0004909,e-3,e0,wade,07/29/2013 0:00:00,
13R4080:0005001,e-3,e0,wade,07/29/2013 0:00:00,
13R4080:0005002,e-3,e0,wade,07/29/2013 0:00:00,
13R4080:0005003,e-3,e0,wade,07/29/2013 0:00:00,
13R4080:0005004,e-3,e0,wade,07/29/2013 0:00:00,
13R4080:0005005,e-3,e0,wade,07/29/2013 0:00:00,
13R4080:0005006,e-3,e0,wade,07/29/2013 0:00:00,
13R4080:0005007,e-3,e0,wade,07/29/2013 0:00:00,
13R4080:0005008,e-3,e0,wade,07/29/2013 0:00:00,
13R4080:0005009,e-3,e0,wade,07/29/2013 0:00:00,
13R4080:0005010,e-3,e0,wade,07/29/2013 0:00:00,
13R4080:0005014,e-3,e0,wade,07/29/2013 0:00:00,
13R3571:0005101,e-3,e0,wade,07/29/2013 0:00:00,
13R3571:0005102,e-3,e0,wade,07/29/2013 0:00:00,
13R3571:0005105,e-3,e0,wade,07/29/2013 0:00:00,
13R3575:0005202,e-3,e0,wade,07/29/2013 0:00:00,
13R3575:0005203,e-3,e0,wade,07/29/2013 0:00:00,
13R3575:0005206,e-3,e0,wade,07/29/2013 0:00:00,
13R3575:0005207,e-3,e0,wade,07/29/2013 0:00:00,
13R3575:0005208,e-3,e0,wade,07/29/2013 0:00:00,
13R3575:0005209,e-3,e0,wade,07/29/2013 0:00:00,
13R3575:0005210,e-3,e0,wade,07/29/2013 0:00:00,
13R3926:0005301,e-3,e0,wade,07/29/2013 0:00:00,
13R3926:0005303,e-3,e0,wade,07/29/2013 0:00:00,
13R3926:0005305,e-3,e0,wade,07/29/2013 0:00:00,
13R4081:0005401,e-3,e0,wade,07/29/2013 0:00:00,
13R4081:0005402,e-3,e0,wade,07/29/2013 0:00:00,
13R4081:0005403,e-3,e0,wade,07/29/2013 0:00:00,
13R4081:0005404,e-3,e0,wade,07/29/2013 0:00:00,
13R4081:0005405,e-3,e0,wade,07/29/2013 0:00:00,
13R4081:0005406,e-3,e0,wade,07/29/2013 0:00:00,
13R4081:0005407,e-3,e0,wade,07/29/2013 0:00:00,
13R4081:0005408,e-3,e0,wade,07/29/2013 0:00:00,
13R4081:0005409,e-3,e0,wade,07/29/2013 0:00:00,
13R4081:0005410,e-3,e0,wade,07/29/2013 0:00:00,
13R4081:0005411,e-3,e0,wade,07/29/2013 0:00:00,
13R4081:0005412,e-3,e0,wade,07/29/2013 0:00:00,
13R4081:0005413,e-3,e0,wade,07/29/2013 0:00:00,
13R4081:0005414,e-3,e0,wade,07/29/2013 0:00:00,
13R4081:0005415,e-3,e0,wade,07/29/2013 0:00:00,
13R4082:0005502,e-3,e0,wade,07/29/2013 0:00:00,
13R4082:0005504,e-3,e0,wade,07/29/2013 0:00:00,
13R4082:0005507,e-3,e0,wade,07/29/2013 0:00:00,
13R4082:0005510,e-3,e0,wade,07/29/2013 0:00:00,
13R4082:0005512,e-3,e0,wade,07/29/2013 0:00:00,
13R4082:0005513,e-3,e0,wade,07/29/2013 0:00:00,
13R4082:0005515,e-3,e0,wade,07/29/2013 0:00:00,
13R4083:0005601,e-3,e0,wade,07/29/2013 0:00:00,
13R4083:0005602,e-3,e0,wade,07/29/2013 0:00:00,
13R4083:0005603,e-3,e0,wade,07/29/2013 0:00:00,
13R4083:0005604,e-3,e0,wade,07/29/2013 0:00:00,
13R4083:0005605,e-3,e0,wade,07/29/2013 0:00:00,
13R4083:0005607,e-3,e0,wade,07/29/2013 0:00:00,
13R4083:0005608,e-3,e0,wade,07/29/2013 0:00:00,
13R4083:0005609,e-3,e0,wade,07/29/2013 0:00:00,
13R4083:0005612,e-3,e0,wade,07/29/2013 0:00:00,
13R3584:0005702,e-3,e0,wade,07/29/2013 0:00:00,
13R3584:0005704,e-3,e0,wade,07/29/2013 0:00:00,
13R3584:0005706,e-3,e0,wade,07/29/2013 0:00:00,
13R3584:0005708,e-3,e0,wade,07/29/2013 0:00:00,
13R3584:0005709,e-3,e0,wade,07/29/2013 0:00:00,
13R3584:0005711,e-3,e0,wade,07/29/2013 0:00:00,
13R3584:0005712,e-3,e0,wade,07/29/2013 0:00:00,
13R3584:0005713,e-3,e0,wade,07/29/2013 0:00:00,
13R3584:0005717,e-3,e0,wade,07/29/2013 0:00:00,
13R4084:0005802,e-3,e0,wade,07/29/2013 0:00:00,
13R4084:0005803,e-3,e0,wade,07/29/2013 0:00:00,
13R4084:0005812,e-3,e0,wade,07/29/2013 0:00:00,
13R4084:0005813,e-3,e0,wade,07/29/2013 0:00:00,
13R3946:0005901,e-3,e0,wade,07/29/2013 0:00:00,
13R3946:0005902,e-3,e0,wade,07/29/2013 0:00:00,
13R3946:0005903,e-3,e0,wade,07/29/2013 0:00:00,
13R3946:0005905,e-3,e0,wade,07/29/2013 0:00:00,
13R3946:0005907,e-3,e0,wade,07/29/2013 0:00:00,
13R3943:0006010,e-3,e0,wade,07/29/2013 0:00:00,
13R4085:0006101,e-3,e0,wade,07/29/2013 0:00:00,
13R4085:0006106,e-3,e0,wade,07/29/2013 0:00:00,
13R4085:0006108,e-3,e0,wade,07/29/2013 0:00:00,
13R3590:0006301,e-3,e0,wade,07/29/2013 0:00:00,
13R4087:0006301,e-3,e0,wade,07/29/2013 0:00:00,
13R3590:0006302,e-3,e0,wade,07/29/2013 0:00:00,
13R4087:0006302,e-3,e0,wade,07/29/2013 0:00:00,
13R3590:0006304,e-3,e0,wade,07/29/2013 0:00:00,
13R4087:0006304,e-3,e0,wade,07/29/2013 0:00:00,
13R3590:0006305,e-3,e0,wade,07/29/2013 0:00:00,
13R4195:0006402,e-3,e0,wade,07/29/2013 0:00:00,
13R4195:0006404,e-3,e0,wade,07/29/2013 0:00:00,
13R4195:0006406,e-3,e0,wade,07/29/2013 0:00:00,
13R4195:0006408,e-3,e0,wade,07/29/2013 0:00:00,
13R4218:0006408,e-3,e0,wade,07/29/2013 0:00:00,
13R4195:0006409,e-3,e0,wade,07/29/2013 0:00:00,
13R4195:0006410,e-3,e0,wade,07/29/2013 0:00:00,
13R4218:0006410,e-3,e0,wade,07/29/2013 0:00:00,
13R3959:0006602,e-3,e0,wade,07/29/2013 0:00:00,
13R4101:0009001,e-3,e0,wade,07/29/2013 0:00:00,
13R4099:0009108,e-3,e0,wade,07/29/2013 0:00:00,
13R4023:0009203,e-3,e0,wade,07/29/2013 0:00:00,
13R3460:0009301,e-3,e0,wade,07/29/2013 0:00:00,
13R4105:0010503,e-3,e0,wade,07/29/2013 0:00:00,
13R4105:0010504,e-3,e0,wade,07/29/2013 0:00:00,
13R4105:0010505,e-3,e0,wade,07/29/2013 0:00:00,
13R4105:0010508,e-3,e0,wade,07/29/2013 0:00:00,
13R4105:0010513,e-3,e0,wade,07/29/2013 0:00:00,
13R4105:0010603,e-3,e0,wade,07/29/2013 0:00:00,
13R4105:0010604,e-3,e0,wade,07/29/2013 0:00:00,
13R4105:0010608,e-3,e0,wade,07/29/2013 0:00:00,
13R4105:0010609,e-3,e0,wade,07/29/2013 0:00:00,
13R4105:0010610,e-3,e0,wade,07/29/2013 0:00:00,
13R4105:0010612,e-3,e0,wade,07/29/2013 0:00:00,
13R4110:0011603,e-3,e0,wade,07/29/2013 0:00:00,
13R4110:0011608,e-3,e0,wade,07/29/2013 0:00:00,
13R4110:0011610,e-3,e0,wade,07/29/2013 0:00:00,
13R4110:0011613,e-3,e0,wade,07/29/2013 0:00:00,
13R4110:0011618,e-3,e0,wade,07/29/2013 0:00:00,
13R4110:0011703,e-3,e0,wade,07/29/2013 0:00:00,
13R4110:0011704,e-3,e0,wade,07/29/2013 0:00:00,
13R4110:0011705,e-3,e0,wade,07/29/2013 0:00:00,
13R4110:0011715,e-3,e0,wade,07/29/2013 0:00:00,
13R4110:0011807,e-3,e0,wade,07/29/2013 0:00:00,
13R4110:0011810,e-3,e0,wade,07/29/2013 0:00:00,
13R4110:0011811,e-3,e0,wade,07/29/2013 0:00:00,
13R4110:0011812,e-3,e0,wade,07/29/2013 0:00:00,
13R4110:0011813,e-3,e0,wade,07/29/2013 0:00:00,
13R4114:0012803,e-3,e0,wade,07/29/2013 0:00:00,
13R4114:0012804,e-3,e0,wade,07/29/2013 0:00:00,
13R4114:0012805,e-3,e0,wade,07/29/2013 0:00:00,
13R4114:0012806,e-3,e0,wade,07/29/2013 0:00:00,
13R4114:0012808,e-3,e0,wade,07/29/2013 0:00:00,
13R4114:0012812,e-3,e0,wade,07/29/2013 0:00:00,
13R4114:0012814,e-3,e0,wade,07/29/2013 0:00:00,
13R4114:0012816,e-3,e0,wade,07/29/2013 0:00:00,
13R4115:0012910,e-3,e0,wade,07/29/2013 0:00:00,