plantID,ht_in,datetime,observer,num_leaves,leaf_num_first_ear,num_tillers,plant_anatomy
17R205:S0001401,55.5,08/11/2017 14:30:00,toni,,,,
17R205:S0001402,61.5,08/11/2017 14:30:00,toni,,,,
17R205:S0001403,58.3,08/11/2017 14:30:00,toni,,,,
17R205:S0001404,58.5,08/11/2017 14:30:00,toni,,,,
17R205:S0001405,55.5,08/11/2017 14:30:00,toni,,,,
17R205:S0001406,57,08/11/2017 14:30:00,toni,,,,
17R205:S0001407,55.5,08/11/2017 14:30:00,toni,,,,
17R205:S0001408,57,08/11/2017 14:30:00,toni,,,,
17R205:S0001409,60,08/11/2017 14:30:00,toni,,,,
17R205:S0001410,59.5,08/11/2017 14:30:00,toni,,,,
17R205:S0001411,58,08/11/2017 14:30:00,toni,,,,
17R205:S0001412,59,08/11/2017 14:30:00,toni,,,,
17R205:S0001413,58,08/11/2017 14:30:00,toni,,,,
17R205:S0001414,61,08/11/2017 14:30:00,toni,,,,
17R205:S0001415,59,08/11/2017 14:30:00,toni,,,,
17R205:S0001416,61,08/11/2017 14:30:00,toni,,,,
17R205:S0001417,54.5,08/11/2017 14:30:00,toni,,,,
17R205:S0001418,54.5,08/11/2017 14:30:00,toni,,,,
17R205:S0001501,53.5,08/11/2017 14:30:00,toni,,,,
17R205:S0001502,56,08/11/2017 14:30:00,toni,,,,
17R205:S0001503,54,08/11/2017 14:30:00,toni,,,,
17R205:S0001504,53,08/11/2017 14:30:00,toni,,,,
17R205:S0001505,43,08/11/2017 14:30:00,toni,,,,
17R205:S0001506,42.5,08/11/2017 14:30:00,toni,,,,
17R205:S0001507,42,08/11/2017 14:30:00,toni,,,,
17R205:S0001508,55.3,08/11/2017 14:30:00,toni,,,,
17R205:S0001509,56.5,08/11/2017 14:30:00,toni,,,,
17R205:S0001510,56.3,08/11/2017 14:30:00,toni,,,,
17R205:S0001511,60.5,08/11/2017 14:30:00,toni,,,,
17R205:S0001512,57,08/11/2017 14:30:00,toni,,,,
17R205:S0001513,55,08/11/2017 14:30:00,toni,,,,
17R205:S0001514,56.5,08/11/2017 14:30:00,toni,,,,
17R205:S0001515,57,08/11/2017 14:30:00,toni,,,,
17R205:S0001516,54.5,08/11/2017 14:30:00,toni,,,,
17R205:S0001517,49,08/11/2017 14:30:00,toni,,,,
17R305:W0001701,63,08/11/2017 14:30:00,toni,,,,
17R305:W0001702,70,08/11/2017 14:30:00,toni,,,,
17R305:W0001703,69,08/11/2017 14:30:00,toni,,,,
17R305:W0001704,71,08/11/2017 14:30:00,toni,,,,
17R305:W0001705,67,08/11/2017 14:30:00,toni,,,,
17R305:W0001706,42,08/11/2017 14:30:00,toni,,,,
17R305:W0001707,71.5,08/11/2017 14:30:00,toni,,,,
17R305:W0001708,65,08/11/2017 14:30:00,toni,,,,
17R305:W0001709,68,08/11/2017 14:30:00,toni,,,,
17R305:W0001710,66.5,08/11/2017 14:30:00,toni,,,,
17R305:W0001711,66.5,08/11/2017 14:30:00,toni,,,,
17R305:W0001712,74.5,08/11/2017 14:30:00,toni,,,,
17R305:W0001713,68.3,08/11/2017 14:30:00,toni,,,,
17R305:W0001714,71.5,08/11/2017 14:30:00,toni,,,,
17R305:W0001715,62.5,08/11/2017 14:30:00,toni,,,,
17R305:W0001716,74.5,08/11/2017 14:30:00,toni,,,,
17R305:W0001717,43,08/11/2017 14:30:00,toni,,,,
17R305:W0001718,64,08/11/2017 14:30:00,toni,,,,
17R305:W0001801,64,08/11/2017 14:30:00,toni,,,,
17R305:W0001802,60,08/11/2017 14:30:00,toni,,,,
17R305:W0001803,66,08/11/2017 14:30:00,toni,,,,
17R305:W0001804,73,08/11/2017 14:30:00,toni,,,,
17R305:W0001805,71,08/11/2017 14:30:00,toni,,,,
17R305:W0001806,67,08/11/2017 14:30:00,toni,,,,
17R305:W0001807,71.5,08/11/2017 14:30:00,toni,,,,
17R305:W0001808,69.5,08/11/2017 14:30:00,toni,,,,
17R305:W0001809,70.3,08/11/2017 14:30:00,toni,,,,
17R305:W0001810,68,08/11/2017 14:30:00,toni,,,,
17R305:W0001811,74.5,08/11/2017 14:30:00,toni,,,,
17R305:W0001814,71.5,08/11/2017 14:30:00,toni,,,,
17R305:W0001815,72,08/11/2017 14:30:00,toni,,,,
17R305:W0001816,74,08/11/2017 14:30:00,toni,,,,
17R305:W0001817,70.5,08/11/2017 14:30:00,toni,,,,
17R305:W0001818,68,08/11/2017 14:30:00,toni,,,,
17R305:W0001819,69,08/11/2017 14:30:00,toni,,,,
17R405:M0002101,48,08/11/2017 14:30:00,toni,,,,
17R405:M0002102,54,08/11/2017 14:30:00,toni,,,,
17R405:M0002103,54.5,08/11/2017 14:30:00,toni,,,,
17R405:M0002104,53,08/11/2017 14:30:00,toni,,,,
17R405:M0002105,20,08/11/2017 14:30:00,toni,,,,
17R405:M0002106,49,08/11/2017 14:30:00,toni,,,,
17R405:M0002107,54.5,08/11/2017 14:30:00,toni,,,,
17R405:M0002108,50.5,08/11/2017 14:30:00,toni,,,,
17R405:M0002109,55.5,08/11/2017 14:30:00,toni,,,,
17R405:M0002110,50,08/11/2017 14:30:00,toni,,,,
17R405:M0002111,45,08/11/2017 14:30:00,toni,,,,
17R405:M0002112,54,08/11/2017 14:30:00,toni,,,,
17R405:M0002113,57.6,08/11/2017 14:30:00,toni,,,,
17R405:M0002114,48.5,08/11/2017 14:30:00,toni,,,,
17R405:M0002201,52.5,08/11/2017 14:30:00,toni,,,,
17R405:M0002202,60.5,08/11/2017 14:30:00,toni,,,,
17R405:M0002203,55.5,08/11/2017 14:30:00,toni,,,,
17R405:M0002204,53.5,08/11/2017 14:30:00,toni,,,,
17R405:M0002205,54.5,08/11/2017 14:30:00,toni,,,,
17R405:M0002206,54,08/11/2017 14:30:00,toni,,,,
17R405:M0002207,51,08/11/2017 14:30:00,toni,,,,
17R405:M0002208,62.5,08/11/2017 14:30:00,toni,,,,
17R405:M0002209,59,08/11/2017 14:30:00,toni,,,,
17R405:M0002210,55,08/11/2017 14:30:00,toni,,,,
17R405:M0002211,58,08/11/2017 14:30:00,toni,,,,
17R405:M0002212,56,08/11/2017 14:30:00,toni,,,,
17R405:M0002213,53,08/11/2017 14:30:00,toni,,,,
17R405:M0002214,59,08/11/2017 14:30:00,toni,,,,
17R405:M0002215,52.7,08/11/2017 14:30:00,toni,,,,
17R405:M0002216,51,08/11/2017 14:30:00,toni,,,,
